Countries,Region,Longitude,Latitude,Subregion
Thailand,Asia,15.87,100.9925,Southeast Asia
Japan,Asia,36.2,138.2529,East Asia
Singapore,Asia,1.35,103.8198,East Asia
Nepal,Asia,28.39,84.124,South Asia
Malaysia,Asia,4.21,101.9758,Southeast Asia
Canada,North America,56.13,-106.3468,North America
Australia,Australia,-25.27,133.7751,Australia
Cambodia,Asia,12.57,104.991,Southeast Asia
Sri Lanka,Asia,7.87,80.7718,South Asia
Germany,Europe,51.17,10.4515,Central Europe
Finland,Europe,61.92,25.7482,Scandanavia
United Arab Emirates,Asia,23.42,53.8478,Middle East
Philippines,Asia,12.88,121.774,Southeast Asia
India,Asia,20.59,78.9629,South Asia
Italy,Europe,41.87,12.5674,Central Europe
Sweden,Europe,60.13,18.6435,Scandanavia
Spain,Europe,40.46,-3.7492,Western Europe
Belgium,Europe,50.5,4.4699,Western Europe
Egypt,Africa,26.82,30.8025,North Africa
Lebanon,Asia,33.85,35.8623,Middle East
Iraq,Asia,33.22,43.6793,Middle East
Oman,Asia,21.47,55.9754,Middle East
Afghanistan,Asia,33.94,67.71,Middle East
Bahrain,Asia,26.07,50.5577,Middle East
Kuwait,Asia,29.31,47.4818,Middle East
Algeria,Europe,28.03,1.6596,North Africa
Croatia,Europe,45.1,15.2,Eastern Europe
Switzerland,Europe,46.82,8.2275,Central Europe
Austria,Europe,47.52,14.5501,Central Europe
Israel,Asia,31.05,34.8516,Middle East
Pakistan,Asia,30.38,69.3451,South Asia
Brazil,South America,-14.24,-51.9253,South America
Georgia,Europe,32.17,82.9001,Eastern Europe
Greece,Europe,39.07,21.8243,Eastern Europe
North Macedonia,Europe,41.61,21.7453,Eastern Europe
Norway,Europe,60.47,8.4689,Scandanavia
Romania,Europe,45.94,24.9668,Eastern Europe
Estonia,Europe,58.6,25.0136,Eastern Europe
San Marino,Europe,43.94,12.4578,Central Europe
Belarus,Europe,53.71,27.9534,Eastern Europe
Iceland,Europe,64.96,-19.0208,Scandanavia
Lithuania,Europe,55.17,23.8813,Eastern Europe
Mexico,North America,23.63,-102.5528,North America
New Zealand,Australia,-40.9,174.886,Australia
Nigeria,Africa,9.08,8.6753,West Africa
Ireland,Europe,53.14,-7.6921,Western Europe
Luxembourg,Europe,49.82,6.1296,Western Europe
Monaco,Europe,43.74,7.4246,Western Europe
Qatar,Asia,25.35,51.1839,Middle East
Ecuador,South America,-1.83,-78.1834,South America
Azerbaijan,Asia,40.14,47.5769,Eastern Europe
Armenia,Europe,40.07,45.0382,Eastern Europe
Dominican Republic,North America,18.74,-70.1627,North America
Indonesia,Asia,-0.79,113.9213,Southeast Asia
Portugal,Europe,39.4,-8.2245,Western Europe
Andorra,Europe,42.51,1.5218,Western Europe
Latvia,Europe,56.88,24.6032,Eastern Europe
Morocco,Africa,31.79,7.0926,North Africa
Saudi Arabia,Asia,23.89,45.0792,Middle East
Senegal,Africa,14.5,-14.4524,West Africa
Argentina,South America,-38.42,-63.6167,South America
Chile,South America,-35.68,-71.543,South America
Jordan,Asia,30.59,36.2384,Middle East
Ukraine,Europe,48.38,31.1656,Eastern Europe
Hungary,Europe,47.16,19.5033,Eastern Europe
Liechtenstein,Europe,47.17,9.5554,Western Europe
Poland,Europe,51.92,19.1451,Eastern Europe
Tunisia,Africa,33.89,9.5375,North Africa
Bosnia and Herzegovina,Europe,43.92,17.6791,Eastern Europe
Slovenia,Europe,46.15,14.9955,Eastern Europe
South Africa,Africa,-30.56,22.9375,South Africa
Bhutan,Asia,27.51,90.4336,South Asia
Cameroon,Africa,7.37,12.3547,Central Africa
Colombia,South America,4.57,-74.2973,South America
Costa Rica,North America,9.75,-83.7534,North America
Peru,South America,-9.19,-75.0152,South America
Serbia,Europe,44.02,21.0059,Eastern Europe
Slovakia,Europe,48.67,19.699,Eastern Europe
Togo,Africa,8.62,0.8248,Southeast Asia
Malta,Europe,35.94,14.3754,Eastern Europe
