STATEFP,COUNTYFP,POSTALCODE,COUNTY,MEDIAN_INCOME
00,000,US,United States,"61,937.00"
01,000,AL,Alabama,"49,881.00"
01,001,AL,Autauga County,"59,338.00"
01,003,AL,Baldwin County,"57,588.00"
01,005,AL,Barbour County,"34,382.00"
01,007,AL,Bibb County,"46,064.00"
01,009,AL,Blount County,"50,412.00"
01,011,AL,Bullock County,"29,267.00"
01,013,AL,Butler County,"37,365.00"
01,015,AL,Calhoun County,"45,400.00"
01,017,AL,Chambers County,"39,917.00"
01,019,AL,Cherokee County,"42,132.00"
01,021,AL,Chilton County,"47,547.00"
01,023,AL,Choctaw County,"39,907.00"
01,025,AL,Clarke County,"40,741.00"
01,027,AL,Clay County,"39,201.00"
01,029,AL,Cleburne County,"46,495.00"
01,031,AL,Coffee County,"55,122.00"
01,033,AL,Colbert County,"49,055.00"
01,035,AL,Conecuh County,"32,613.00"
01,037,AL,Coosa County,"42,423.00"
01,039,AL,Covington County,"40,203.00"
01,041,AL,Crenshaw County,"39,057.00"
01,043,AL,Cullman County,"45,796.00"
01,045,AL,Dale County,"45,309.00"
01,047,AL,Dallas County,"34,035.00"
01,049,AL,DeKalb County,"39,491.00"
01,051,AL,Elmore County,"60,367.00"
01,053,AL,Escambia County,"38,418.00"
01,055,AL,Etowah County,"44,903.00"
01,057,AL,Fayette County,"39,254.00"
01,059,AL,Franklin County,"39,388.00"
01,061,AL,Geneva County,"37,823.00"
01,063,AL,Greene County,"28,524.00"
01,065,AL,Hale County,"34,724.00"
01,067,AL,Henry County,"46,027.00"
01,069,AL,Houston County,"47,993.00"
01,071,AL,Jackson County,"41,929.00"
01,073,AL,Jefferson County,"55,013.00"
01,075,AL,Lamar County,"40,936.00"
01,077,AL,Lauderdale County,"48,707.00"
01,079,AL,Lawrence County,"43,909.00"
01,081,AL,Lee County,"48,937.00"
01,083,AL,Limestone County,"64,863.00"
01,085,AL,Lowndes County,"33,973.00"
01,087,AL,Macon County,"32,495.00"
01,089,AL,Madison County,"63,755.00"
01,091,AL,Marengo County,"37,733.00"
01,093,AL,Marion County,"37,887.00"
01,095,AL,Marshall County,"46,233.00"
01,097,AL,Mobile County,"43,598.00"
01,099,AL,Monroe County,"39,556.00"
01,101,AL,Montgomery County,"49,640.00"
01,103,AL,Morgan County,"52,797.00"
01,105,AL,Perry County,"26,814.00"
01,107,AL,Pickens County,"37,586.00"
01,109,AL,Pike County,"37,259.00"
01,111,AL,Randolph County,"40,546.00"
01,113,AL,Russell County,"39,104.00"
01,115,AL,St. Clair County,"57,284.00"
01,117,AL,Shelby County,"75,663.00"
01,119,AL,Sumter County,"27,859.00"
01,121,AL,Talladega County,"41,630.00"
01,123,AL,Tallapoosa County,"42,205.00"
01,125,AL,Tuscaloosa County,"52,557.00"
01,127,AL,Walker County,"45,434.00"
01,129,AL,Washington County,"44,424.00"
01,131,AL,Wilcox County,"25,385.00"
01,133,AL,Winston County,"41,156.00"
02,000,AK,Alaska,"74,912.00"
02,013,AK,Aleutians East Borough,"70,081.00"
02,016,AK,Aleutians West Census Area,"82,633.00"
02,020,AK,Anchorage Borough,"82,113.00"
02,050,AK,Bethel Census Area,"44,304.00"
02,060,AK,Bristol Bay Borough,"77,257.00"
02,068,AK,Denali Borough,"75,477.00"
02,070,AK,Dillingham Census Area,"54,524.00"
02,090,AK,Fairbanks North Star Borough,"74,268.00"
02,100,AK,Haines Borough,"58,943.00"
02,105,AK,Hoonah-Angoon Census Area,"51,188.00"
02,110,AK,Juneau Borough,"79,173.00"
02,122,AK,Kenai Peninsula Borough,"65,439.00"
02,130,AK,Ketchikan Gateway Borough,"68,309.00"
02,150,AK,Kodiak Island Borough,"74,109.00"
02,158,AK,Kusilvak Census Area,"32,728.00"
02,164,AK,Lake and Peninsula Borough,"49,403.00"
02,170,AK,Matanuska-Susitna Borough,"74,649.00"
02,180,AK,Nome Census Area,"55,318.00"
02,185,AK,North Slope Borough,"89,276.00"
02,188,AK,Northwest Arctic Borough,"59,337.00"
02,195,AK,Petersburg Borough,"66,075.00"
02,198,AK,Prince of Wales-Hyder Census Area,"49,356.00"
02,220,AK,Sitka Borough,"71,825.00"
02,230,AK,Skagway Municipality,"74,635.00"
02,240,AK,Southeast Fairbanks Census Area,"63,527.00"
02,261,AK,Valdez-Cordova Census Area,"68,528.00"
02,275,AK,Wrangell City and Borough,"57,832.00"
02,282,AK,Yakutat Borough,"59,523.00"
02,290,AK,Yukon-Koyukuk Census Area,"38,912.00"
04,000,AZ,Arizona,"59,079.00"
04,001,AZ,Apache County,"33,652.00"
04,003,AZ,Cochise County,"49,164.00"
04,005,AZ,Coconino County,"60,187.00"
04,007,AZ,Gila County,"43,585.00"
04,009,AZ,Graham County,"50,157.00"
04,011,AZ,Greenlee County,"65,818.00"
04,012,AZ,La Paz County,"37,350.00"
04,013,AZ,Maricopa County,"65,234.00"
04,015,AZ,Mohave County,"45,129.00"
04,017,AZ,Navajo County,"40,650.00"
04,019,AZ,Pima County,"53,395.00"
04,021,AZ,Pinal County,"58,848.00"
04,023,AZ,Santa Cruz County,"40,545.00"
04,025,AZ,Yavapai County,"48,758.00"
04,027,AZ,Yuma County,"44,116.00"
05,000,AR,Arkansas,"47,094.00"
05,001,AR,Arkansas County,"43,887.00"
05,003,AR,Ashley County,"41,127.00"
05,005,AR,Baxter County,"39,686.00"
05,007,AR,Benton County,"68,978.00"
05,009,AR,Boone County,"44,482.00"
05,011,AR,Bradley County,"37,729.00"
05,013,AR,Calhoun County,"44,969.00"
05,015,AR,Carroll County,"45,023.00"
05,017,AR,Chicot County,"31,787.00"
05,019,AR,Clark County,"45,408.00"
05,021,AR,Clay County,"37,687.00"
05,023,AR,Cleburne County,"44,902.00"
05,025,AR,Cleveland County,"47,600.00"
05,027,AR,Columbia County,"40,909.00"
05,029,AR,Conway County,"44,565.00"
05,031,AR,Craighead County,"45,615.00"
05,033,AR,Crawford County,"47,363.00"
05,035,AR,Crittenden County,"42,606.00"
05,037,AR,Cross County,"41,214.00"
05,039,AR,Dallas County,"37,259.00"
05,041,AR,Desha County,"36,132.00"
05,043,AR,Drew County,"42,494.00"
05,045,AR,Faulkner County,"53,882.00"
05,047,AR,Franklin County,"43,696.00"
05,049,AR,Fulton County,"35,630.00"
05,051,AR,Garland County,"43,610.00"
05,053,AR,Grant County,"52,050.00"
05,055,AR,Greene County,"46,512.00"
05,057,AR,Hempstead County,"38,682.00"
05,059,AR,Hot Spring County,"47,205.00"
05,061,AR,Howard County,"40,199.00"
05,063,AR,Independence County,"45,596.00"
05,065,AR,Izard County,"37,828.00"
05,067,AR,Jackson County,"36,573.00"
05,069,AR,Jefferson County,"38,596.00"
05,071,AR,Johnson County,"39,381.00"
05,073,AR,Lafayette County,"35,527.00"
05,075,AR,Lawrence County,"40,308.00"
05,077,AR,Lee County,"28,080.00"
05,079,AR,Lincoln County,"44,951.00"
05,081,AR,Little River County,"43,559.00"
05,083,AR,Logan County,"41,471.00"
05,085,AR,Lonoke County,"56,651.00"
05,087,AR,Madison County,"42,674.00"
05,089,AR,Marion County,"36,581.00"
05,091,AR,Miller County,"42,162.00"
05,093,AR,Mississippi County,"36,718.00"
05,095,AR,Monroe County,"32,922.00"
05,097,AR,Montgomery County,"38,318.00"
05,099,AR,Nevada County,"37,626.00"
05,101,AR,Newton County,"36,078.00"
05,103,AR,Ouachita County,"37,624.00"
05,105,AR,Perry County,"45,342.00"
05,107,AR,Phillips County,"29,945.00"
05,109,AR,Pike County,"41,534.00"
05,111,AR,Poinsett County,"37,370.00"
05,113,AR,Polk County,"39,048.00"
05,115,AR,Pope County,"45,788.00"
05,117,AR,Prairie County,"43,245.00"
05,119,AR,Pulaski County,"49,957.00"
05,121,AR,Randolph County,"37,799.00"
05,123,AR,St. Francis County,"33,257.00"
05,125,AR,Saline County,"63,677.00"
05,127,AR,Scott County,"35,826.00"
05,129,AR,Searcy County,"31,659.00"
05,131,AR,Sebastian County,"46,843.00"
05,133,AR,Sevier County,"44,100.00"
05,135,AR,Sharp County,"36,032.00"
05,137,AR,Stone County,"34,009.00"
05,139,AR,Union County,"45,335.00"
05,141,AR,Van Buren County,"40,486.00"
05,143,AR,Washington County,"50,893.00"
05,145,AR,White County,"44,811.00"
05,147,AR,Woodruff County,"34,306.00"
05,149,AR,Yell County,"41,729.00"
06,000,CA,California,"75,250.00"
06,001,CA,Alameda County,"101,744.00"
06,003,CA,Alpine County,"55,384.00"
06,005,CA,Amador County,"58,515.00"
06,007,CA,Butte County,"50,945.00"
06,009,CA,Calaveras County,"62,984.00"
06,011,CA,Colusa County,"57,249.00"
06,013,CA,Contra Costa County,"101,463.00"
06,015,CA,Del Norte County,"48,518.00"
06,017,CA,El Dorado County,"81,869.00"
06,019,CA,Fresno County,"52,318.00"
06,021,CA,Glenn County,"47,365.00"
06,023,CA,Humboldt County,"49,471.00"
06,025,CA,Imperial County,"46,633.00"
06,027,CA,Inyo County,"53,793.00"
06,029,CA,Kern County,"51,586.00"
06,031,CA,Kings County,"58,255.00"
06,033,CA,Lake County,"45,086.00"
06,035,CA,Lassen County,"57,705.00"
06,037,CA,Los Angeles County,"67,986.00"
06,039,CA,Madera County,"53,632.00"
06,041,CA,Marin County,"122,933.00"
06,043,CA,Mariposa County,"51,402.00"
06,045,CA,Mendocino County,"51,386.00"
06,047,CA,Merced County,"56,169.00"
06,049,CA,Modoc County,"45,227.00"
06,051,CA,Mono County,"66,499.00"
06,053,CA,Monterey County,"69,665.00"
06,055,CA,Napa County,"85,624.00"
06,057,CA,Nevada County,"66,681.00"
06,059,CA,Orange County,"89,373.00"
06,061,CA,Placer County,"89,175.00"
06,063,CA,Plumas County,"55,079.00"
06,065,CA,Riverside County,"66,793.00"
06,067,CA,Sacramento County,"69,475.00"
06,069,CA,San Benito County,"80,063.00"
06,071,CA,San Bernardino County,"63,310.00"
06,073,CA,San Diego County,"78,777.00"
06,075,CA,San Francisco County,"110,601.00"
06,077,CA,San Joaquin County,"63,567.00"
06,079,CA,San Luis Obispo County,"70,626.00"
06,081,CA,San Mateo County,"122,930.00"
06,083,CA,Santa Barbara County,"75,646.00"
06,085,CA,Santa Clara County,"125,933.00"
06,087,CA,Santa Cruz County,"84,213.00"
06,089,CA,Shasta County,"53,908.00"
06,091,CA,Sierra County,"52,308.00"
06,093,CA,Siskiyou County,"47,560.00"
06,095,CA,Solano County,"82,808.00"
06,097,CA,Sonoma County,"81,002.00"
06,099,CA,Stanislaus County,"59,616.00"
06,101,CA,Sutter County,"57,879.00"
06,103,CA,Tehama County,"47,572.00"
06,105,CA,Trinity County,"40,680.00"
06,107,CA,Tulare County,"48,763.00"
06,109,CA,Tuolumne County,"56,500.00"
06,111,CA,Ventura County,"84,170.00"
06,113,CA,Yolo County,"67,804.00"
06,115,CA,Yuba County,"47,504.00"
08,000,CO,Colorado,"71,949.00"
08,001,CO,Adams County,"70,199.00"
